시군구별,지역유형,하반기_합계,월평균,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12
서울특별시,광역시,21812,3635.3333333333335,3709,3516,3107,3657,3422,4401
부산광역시,광역시,5809,968.1666666666666,988,941,775,936,969,1200
대구광역시,광역시,4503,750.5,777,697,618,761,762,888
인천광역시,광역시,6672,1112.0,1120,1069,919,1137,1103,1324
광주광역시,광역시,2826,471.0,500,444,376,478,446,582
대전광역시,광역시,4731,788.5,593,499,679,1133,844,983
울산광역시,광역시,2267,377.8333333333333,380,324,272,431,413,447
세종특별자치시,특별자치,940,156.66666666666666,143,153,116,166,144,218
경기도,도 지역,31668,5278.0,5324,5100,4367,5433,5186,6258
강원특별자치도,도 지역,3061,510.1666666666667,538,444,412,541,500,626
충청북도,도 지역,3287,547.8333333333334,550,522,400,566,604,645
충청남도,도 지역,4630,771.6666666666666,772,718,623,795,791,931
전북특별자치도,도 지역,3192,532.0,515,533,421,553,533,637
전라남도,도 지역,3325,554.1666666666666,575,513,474,549,526,688
경상북도,도 지역,4388,731.3333333333334,805,672,576,747,735,853
경상남도,도 지역,5673,945.5,972,829,702,1009,988,1173
제주특별자치도,도 지역,1368,228.0,186,205,196,259,238,284
국외,기타,2204,367.3333333333333,364,348,334,400,377,381
